Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Southern and Eastern Tornadoes and Severe Weather (April 2018),SouthEast Climate Region,Severe Storm,20180413,20180416,1660.7,1318,3
Central and Eastern Severe Weather (May 2018),SouthEast Climate Region,Severe Storm,20180513,20180515,1726.2,1370,5
Central and Eastern Tornadoes and Severe Weather (July 2018),SouthEast Climate Region,Severe Storm,20180719,20180722,1981.6,1585,0
Hurricane Florence (September 2018),SouthEast Climate Region,Tropical Cyclone,20180913,20180916,30000,24000,53
Hurricane Michael (October 2018),SouthEast Climate Region,Tropical Cyclone,20181010,20181011,30969,24975,49
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",SouthEast Climate Region,Severe Storm,20190223,20190225,1534.3,1237.5,2
Southern and Eastern Tornadoes and Severe Weather (April 2019),SouthEast Climate Region,Severe Storm,20190413,20190414,1540,1252,7
South and Southeast Severe Weather (May 2019),SouthEast Climate Region,Severe Storm,20190507,20190513,1862.4,1514,0
Hurricane Dorian (September 2019),SouthEast Climate Region,Tropical Cyclone,20190828,20190906,1980.3,1610,10
Southeast Tornadoes and Northern Storms and Flooding (January 2020),SouthEast Climate Region,Severe Storm,20200110,20200112,1401.8,1149,10
"South, East and Northeast Severe Weather (February 2020)",SouthEast Climate Region,Severe Storm,20200205,20200207,1532.2,1256,3
Tennessee Tornadoes and Southeast Severe Weather (March 2020),SouthEast Climate Region,Severe Storm,20200302,20200304,2850,2336,25
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),SouthEast Climate Region,Severe Storm,20200407,20200408,3543.9,2881,0
Southeast and Eastern Tornado Outbreak (April 2020),SouthEast Climate Region,Severe Storm,20200412,20200413,4236.2,3444,35
Southern Severe Weather (April 2020),SouthEast Climate Region,Severe Storm,20200421,20200423,1660.6,1350,3
"Central, Southern and Eastern Severe Weather (April 2020)",SouthEast Climate Region,Severe Storm,20200427,20200430,1263.3,1027,1
Central and Eastern Severe Weather (May 2020),SouthEast Climate Region,Severe Storm,20200503,20200505,2598.9,2113,2
"South, Central and Eastern Severe Weather (May 2020)",SouthEast Climate Region,Severe Storm,20200520,20200523,1948.6,1584,2
Hurricane Isaias (August 2020),SouthEast Climate Region,Tropical Cyclone,20200803,20200804,5756.1,4757,16
Hurricane Sally (September 2020),SouthEast Climate Region,Tropical Cyclone,20200915,20200917,8801.5,7274,5
Hurricane Delta (October 2020),SouthEast Climate Region,Tropical Cyclone,20201009,20201011,3469.3,2867,5
Hurricane Zeta (October 2020),SouthEast Climate Region,Tropical Cyclone,20201028,20201029,5266,4352,6
Tropical Storm Eta (November 2020),SouthEast Climate Region,Tropical Cyclone,20201108,20201112,1766.7,1460,12
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",SouthEast Climate Region,Winter Storm,20210210,20210219,27223.2,22686,262
Southeast Tornadoes and Severe Weather (March 2021),SouthEast Climate Region,Severe Storm,20210324,20210325,1995.8,1677,6
Eastern Severe Weather (March 2021),SouthEast Climate Region,Severe Storm,20210327,20210328,1601.9,1346,8
Southern Tornadoes and Southeast Severe Weather (May 2021),SouthEast Climate Region,Severe Storm,20210502,20210504,1479.1,1264,4
Central Severe Storms (June 2021),SouthEast Climate Region,Severe Storm,20210624,20210626,1453.6,1253,0
Tropical Storm Elsa (July 2021),SouthEast Climate Region,Tropical Cyclone,20210707,20210709,1395.3,1213,1
North Central Severe Weather (August 2021),SouthEast Climate Region,Severe Storm,20210810,20210813,1476.9,1284,2
Tropical Storm Fred (August 2021),SouthEast Climate Region,Tropical Cyclone,20210816,20210818,1468.9,1277,7
Hurricane Ida (August 2021),SouthEast Climate Region,Tropical Cyclone,20210829,20210901,84608.1,73572,96
Hurricane Nicholas (September 2021),SouthEast Climate Region,Tropical Cyclone,20210914,20210918,1168.5,1016,0
Southern Tornado Outbreak (March 2022),SouthEast Climate Region,Severe Storm,20220330,20220330,1369.4,1256,2
Southeast Tornado Outbreak (April 2022),SouthEast Climate Region,Severe Storm,20220404,20220406,1544.8,1417,3
Central Derecho (June 2022),SouthEast Climate Region,Severe Storm,20220613,20220613,3386.6,3195,1
North Central and Eastern Severe Weather (July 2022),SouthEast Climate Region,Severe Storm,20220722,20220724,1420.4,1340,1
Hurricane Ian (September 2022),SouthEast Climate Region,Tropical Cyclone,20220928,20220930,118508,111800,152
Hurricane Nicole (November 2022),SouthEast Climate Region,Tropical Cyclone,20221110,20221111,1081.2,1020,5
