Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Great Lakes States,Drought,20070601,20071130,5484.6,3538.3,15
"Western, Central and Northeast Severe Weather (January 2008)",Great Lakes States,Severe Storm,20080104,20080109,1463.3,982,12
Southeast Tornadoes and Severe Weather (February 2008),Great Lakes States,Severe Storm,20080205,20080206,1805.3,1211.6,57
Midwest Tornadoes and Severe Weather (May 2008),Great Lakes States,Severe Storm,20080522,20080527,4392.8,3029.5,13
Midwest/Mid-Atlantic Severe Weather (June 2008),Great Lakes States,Severe Storm,20080606,20080612,2355.7,1635.9,18
Midwest Flooding (Summer 2008),Great Lakes States,Flooding,20080401,20080630,14838,9958.4,24
Hurricane Ike (September 2008),Great Lakes States,Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
U.S. Drought (2008),Great Lakes States,Drought,20080101,20081231,10444.7,7009.8,0
Southeast/Ohio Valley Severe Weather (February 2009),Great Lakes States,Severe Storm,20090210,20090211,2575.4,1740.2,10
Central Derecho and Tornadoes (May 2009),Great Lakes States,Severe Storm,20090507,20090509,1265.8,861,7
"Midwest, South and East Severe Weather (June 2009)",Great Lakes States,Severe Storm,20090609,20090612,1939,1328.1,0
Northeast Winter Storm (February 2010),Great Lakes States,Winter Storm,20100209,20100211,1184.8,817,3
Northeast Flooding (March 2010),Great Lakes States,Flooding,20100301,20100331,2674,1844.2,11
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Great Lakes States,Severe Storm,20100510,20100512,4800.7,3333.8,3
Rockies/Central/East Severe Weather (June 2010),Great Lakes States,Severe Storm,20100610,20100615,1297.5,901,2
Midwest/Northeast Severe Storms and Flooding (July 2010),Great Lakes States,Severe Storm,20100720,20100723,1365.6,948.3,0
Groundhog Day Blizzard (February 2011),Great Lakes States,Winter Storm,20110201,20110203,2565.7,1794.2,36
Midwest/Southeast Tornadoes and Derecho (April 2011),Great Lakes States,Severe Storm,20110404,20110405,3885.3,2775.2,9
Southeast/Midwest Tornadoes (April 2011),Great Lakes States,Severe Storm,20110408,20110411,3051,2179.3,0
Midwest/Southeast Tornadoes (April 2011),Great Lakes States,Severe Storm,20110414,20110416,2882.9,2059.2,38
Ohio Valley Derecho and Southern Tornadoes (April 2011),Great Lakes States,Severe Storm,20110419,20110420,1452.8,1037.5,0
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Great Lakes States,Severe Storm,20110425,20110428,14310.7,10222,321
Midwest/Southeast Tornadoes (May 2011),Great Lakes States,Severe Storm,20110522,20110527,12644.5,9096.8,177
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Great Lakes States,Severe Storm,20110618,20110622,2136.6,1537.3,3
"North Central Severe Weather (July 1, 2011)",Great Lakes States,Severe Storm,20110701,20110701,1234.4,888,0
"Rockies and Midwest Derecho (July 10-11, 2011)",Great Lakes States,Severe Storm,20110710,20110711,1716.6,1235,2
Hurricane Irene (August 2011),Great Lakes States,Tropical Cyclone,20110826,20110828,18756.7,13494,45
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Great Lakes States,Drought,20110301,20110831,17109.5,11964.8,95
Tropical Storm Lee (September 2011),Great Lakes States,Tropical Cyclone,20110901,20110905,3492.4,2512.5,21
Northeastern Winter Storm (October 2011),Great Lakes States,Winter Storm,20111029,20111030,1285.8,925,1
Southeast/Ohio Valley Tornadoes (March 2012),Great Lakes States,Severe Storm,20120302,20120303,4286.4,3128.8,42
Midwest/Ohio Valley Severe Weather (April-May 2012),Great Lakes States,Severe Storm,20120428,20120501,4488.6,3276.3,1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Great Lakes States,Severe Storm,20120525,20120530,3156.1,2303.7,1
Plains/East/Northeast Derecho (June-July 2012),Great Lakes States,Severe Storm,20120629,20120702,3957,2888.4,28
Hurricane Sandy (October 2012),Great Lakes States,Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
U.S. Drought/Heat Wave (2012),Great Lakes States,Drought,20120101,20121231,41705.2,30003.6,123
Midwest/Plains Severe Weather (April 2013),Great Lakes States,Severe Storm,20130407,20130411,1949.4,1444,1
Illinois Flooding and Severe Weather (April 2013),Great Lakes States,Flooding,20130416,20130419,1454.1,1077,4
Midwest/Plains/East Tornadoes (May 2013),Great Lakes States,Severe Storm,20130518,20130522,3240.5,2400.3,27
Midwest/Plains/Northeast Tornadoes (May 2013),Great Lakes States,Severe Storm,20130527,20130531,2448.4,1813.5,10
Midwest Severe Weather (August 2013),Great Lakes States,Severe Storm,20130806,20130807,1396.2,1041.9,0
Ohio Valley Tornadoes (November 2013),Great Lakes States,Severe Storm,20131117,20131117,1472.2,1090.6,8
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Great Lakes States,Drought,20130301,20131130,14283.6,10425.9,53
Midwest/Southeast/Northeast Winter Storm (January 2014),Great Lakes States,Winter Storm,20140105,20140108,2911.5,2172.7,16
Plains Severe Weather (April 2014),Great Lakes States,Severe Storm,20140402,20140403,1893.8,1424,0
Central Severe Weather (April 2014),Great Lakes States,Severe Storm,20140412,20140413,1221.1,918,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Great Lakes States,Severe Storm,20140427,20140501,2309.2,1736.1,33
Center Severe Weather (May 2014),Great Lakes States,Severe Storm,20140510,20140514,1126,853,0
Rockies/Midwest/Eastern Severe Weather (May 2014),Great Lakes States,Severe Storm,20140518,20140523,4901.4,3713.2,0
Michigan and Northeast Flooding (August 2014),Great Lakes States,Flooding,20140811,20140813,1361.9,1031.7,2
"Central and Eastern Winter storm, Cold Wave (February 2015)",Great Lakes States,Winter Storm,20150214,20150220,3969.3,2962.1,30
Midwest/Ohio Valley Severe Weather (April 2015),Great Lakes States,Severe Storm,20150407,20150409,2069,1555.6,2
South/Southeast Severe Weather (April 2015),Great Lakes States,Severe Storm,20150418,20150420,1707.6,1283.9,0
Texas and Oklahoma Flooding and Severe Weather (May 2015),Great Lakes States,Flooding,20150523,20150526,3375.6,2500.4,31
Central and Northeast Severe Weather (June 2015),Great Lakes States,Severe Storm,20150621,20150625,1547.1,1172,1
Texas Tornadoes and Midwest Flooding (December 2015),Great Lakes States,Severe Storm,20151226,20151229,2609.3,1961.9,50
Southeast and Eastern Tornadoes (February 2016),Great Lakes States,Severe Storm,20160222,20160224,1383.5,1040,10
South/Southeast Tornadoes (April 2016),Great Lakes States,Severe Storm,20160426,20160502,3136.7,2394.5,6
Plains Tornadoes and Central Severe Weather (May 2016),Great Lakes States,Severe Storm,20160508,20160511,2252.9,1719.6,2
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Great Lakes States,Flooding,20160622,20160624,1288.5,968.8,23
Rockies and Northeast Severe Weather (July 2016),Great Lakes States,Severe Storm,20160728,20160730,1920,1465.6,0
West/Northeast/Southeast Drought (2016),Great Lakes States,Drought,20160101,20161231,4580,3443.5,0
Central/Southeast Tornado Outbreak (March 2017),Great Lakes States,Severe Storm,20170228,20170301,2329.9,1806,6
Midwest Tornado Outbreak (March 2017),Great Lakes States,Severe Storm,20170306,20170308,2807.2,2176,2
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Great Lakes States,Flooding,20170425,20170507,2156.7,1659,20
North Central Severe Weather and Tornadoes (May 2017),Great Lakes States,Severe Storm,20170515,20170518,1214.1,941,1
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Great Lakes States,Severe Storm,20170609,20170611,3031.5,2350,0
Midwest Severe Weather (June 2017),Great Lakes States,Severe Storm,20170612,20170616,1931.5,1509,0
Midwest Severe Weather (June 2017),Great Lakes States,Severe Storm,20170627,20170629,1824,1425,0
Central and Eastern Winter Storm (January 2018),Great Lakes States,Winter Storm,20180103,20180105,1324.6,1043,22
Northeast Winter Storm (March 2018),Great Lakes States,Winter Storm,20180301,20180303,2764.5,2194,9
Southern and Eastern Tornadoes and Severe Weather (April 2018),Great Lakes States,Severe Storm,20180413,20180416,1660.7,1318,3
Central and Northeast Severe Weather (May 2018),Great Lakes States,Severe Storm,20180501,20180504,1751.3,1390,0
Central and Eastern Severe Weather (May 2018),Great Lakes States,Severe Storm,20180513,20180515,1726.2,1370,5
Central and Eastern Tornadoes and Severe Weather (July 2018),Great Lakes States,Severe Storm,20180719,20180722,1981.6,1585,0
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Great Lakes States,Severe Storm,20190223,20190225,1534.3,1237.5,2
Missouri River and North Central Flooding (March 2019),Great Lakes States,Flooding,20190314,20190331,13408.9,10727,3
Southern and Eastern Tornadoes and Severe Weather (April 2019),Great Lakes States,Severe Storm,20190413,20190414,1540,1252,7
Central Severe Weather (May 2019),Great Lakes States,Severe Storm,20190516,20190518,1196.9,973,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Great Lakes States,Severe Storm,20190526,20190529,5655.6,4598,3
"Mississippi River, Midwest and Southern Flooding (July 2019)",Great Lakes States,Flooding,20190315,20190731,7649.6,6169,4
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Great Lakes States,Severe Storm,20200110,20200112,1401.8,1149,10
"South, East and Northeast Severe Weather (February 2020)",Great Lakes States,Severe Storm,20200205,20200207,1532.2,1256,3
Midwest and Ohio Valley Severe Weather (March 2020),Great Lakes States,Severe Storm,20200327,20200328,3120.9,2558,0
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Great Lakes States,Severe Storm,20200407,20200408,3543.9,2881,0
Southeast and Eastern Tornado Outbreak (April 2020),Great Lakes States,Severe Storm,20200412,20200413,4236.2,3444,35
"Central, Southern and Eastern Severe Weather (April 2020)",Great Lakes States,Severe Storm,20200427,20200430,1263.3,1027,1
"South, Central and Eastern Severe Weather (May 2020)",Great Lakes States,Severe Storm,20200520,20200523,1948.6,1584,2
Central Severe Weather (July 2020),Great Lakes States,Severe Storm,20200710,20200711,1447.4,1196,0
Hurricane Isaias (August 2020),Great Lakes States,Tropical Cyclone,20200803,20200804,5756.1,4757,16
Central Severe Weather - Derecho (August 2020),Great Lakes States,Severe Storm,20200810,20200810,13342.7,11027,4
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Great Lakes States,Winter Storm,20210210,20210219,27223.2,22686,262
Southeast Tornadoes and Severe Weather (March 2021),Great Lakes States,Severe Storm,20210324,20210325,1995.8,1677,6
Eastern Severe Weather (March 2021),Great Lakes States,Severe Storm,20210327,20210328,1601.9,1346,8
Ohio Valley Hail Storms (June 2021),Great Lakes States,Severe Storm,20210617,20210618,1980.1,1707,0
Central Severe Storms (June 2021),Great Lakes States,Severe Storm,20210624,20210626,1453.6,1253,0
Tropical Storm Elsa (July 2021),Great Lakes States,Tropical Cyclone,20210707,20210709,1395.3,1213,1
North Central Severe Weather (August 2021),Great Lakes States,Severe Storm,20210810,20210813,1476.9,1284,2
Tropical Storm Fred (August 2021),Great Lakes States,Tropical Cyclone,20210816,20210818,1468.9,1277,7
Hurricane Ida (August 2021),Great Lakes States,Tropical Cyclone,20210829,20210901,84608.1,73572,96
"Southeast, Central Tornado Outbreak (December 2021)",Great Lakes States,Severe Storm,20211210,20211210,4424.1,3915,93
Midwest Derecho and Tornado Outbreak (December 2021),Great Lakes States,Severe Storm,20211215,20211215,2013.8,1782,1
Western Drought and Heat Wave (2021),Great Lakes States,Drought,20210101,20211231,10117.2,8431,229
Southern Tornado Outbreak (March 2022),Great Lakes States,Severe Storm,20220330,20220330,1369.4,1256,2
Southeast Tornado Outbreak (April 2022),Great Lakes States,Severe Storm,20220404,20220406,1544.8,1417,3
Southern Severe Weather (April 2022),Great Lakes States,Severe Storm,20220411,20220413,2915.7,2675,1
Southern and Central Severe Weather (May 2022),Great Lakes States,Severe Storm,20220501,20220503,1230.1,1139,1
North Central Hail Storms (May 2022),Great Lakes States,Severe Storm,20220509,20220509,2354.4,2160,0
North Central Severe Weather (May 2022),Great Lakes States,Severe Storm,20220511,20220512,2949.6,2706,1
North Central Hail Storms (May 2022),Great Lakes States,Severe Storm,20220519,20220519,2625.4,2431,0
Central Severe Weather (June 2022),Great Lakes States,Severe Storm,20220607,20220608,2025.7,1911,0
Central Derecho (June 2022),Great Lakes States,Severe Storm,20220613,20220613,3386.6,3195,1
North Central and Eastern Severe Weather (July 2022),Great Lakes States,Severe Storm,20220722,20220724,1420.4,1340,1
