Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Midwest and Ohio Valley Severe Weather (March 2020),Central Climate Regiion,Severe Storm,20200327,20200328,3120.9,2558,0
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Central Climate Regiion,Severe Storm,20200407,20200408,3543.9,2881,0
Southeast and Eastern Tornado Outbreak (April 2020),Central Climate Regiion,Severe Storm,20200412,20200413,4236.2,3444,35
"Central, Southern and Eastern Severe Weather (April 2020)",Central Climate Regiion,Severe Storm,20200427,20200430,1263.3,1027,1
Central and Eastern Severe Weather (May 2020),Central Climate Regiion,Severe Storm,20200503,20200505,2598.9,2113,2
"South, Central and Eastern Severe Weather (May 2020)",Central Climate Regiion,Severe Storm,20200520,20200523,1948.6,1584,2
Central Severe Weather (July 2020),Central Climate Regiion,Severe Storm,20200710,20200711,1447.4,1196,0
Central Severe Weather - Derecho (August 2020),Central Climate Regiion,Severe Storm,20200810,20200810,13342.7,11027,4
Hurricane Laura (August 2020),Central Climate Regiion,Tropical Cyclone,20200827,20200828,28090.3,23215,42
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Central Climate Regiion,Winter Storm,20210210,20210219,27223.2,22686,262
Southeast Tornadoes and Severe Weather (March 2021),Central Climate Regiion,Severe Storm,20210324,20210325,1995.8,1677,6
Eastern Severe Weather (March 2021),Central Climate Regiion,Severe Storm,20210327,20210328,1601.9,1346,8
Southern Tornadoes and Southeast Severe Weather (May 2021),Central Climate Regiion,Severe Storm,20210502,20210504,1479.1,1264,4
Ohio Valley Hail Storms (June 2021),Central Climate Regiion,Severe Storm,20210617,20210618,1980.1,1707,0
Central Severe Storms (June 2021),Central Climate Regiion,Severe Storm,20210624,20210626,1453.6,1253,0
Central Severe Storms (July 2021),Central Climate Regiion,Severe Storm,20210708,20210711,1242.2,1080,0
North Central Severe Weather (August 2021),Central Climate Regiion,Severe Storm,20210810,20210813,1476.9,1284,2
Tropical Storm Fred (August 2021),Central Climate Regiion,Tropical Cyclone,20210816,20210818,1468.9,1277,7
Hurricane Ida (August 2021),Central Climate Regiion,Tropical Cyclone,20210829,20210901,84608.1,73572,96
"Southeast, Central Tornado Outbreak (December 2021)",Central Climate Regiion,Severe Storm,20211210,20211210,4424.1,3915,93
Midwest Derecho and Tornado Outbreak (December 2021),Central Climate Regiion,Severe Storm,20211215,20211215,2013.8,1782,1
Southern Tornado Outbreak (March 2022),Central Climate Regiion,Severe Storm,20220330,20220330,1369.4,1256,2
Southern Severe Weather (April 2022),Central Climate Regiion,Severe Storm,20220411,20220413,2915.7,2675,1
Southern and Central Severe Weather (May 2022),Central Climate Regiion,Severe Storm,20220501,20220503,1230.1,1139,1
North Central Hail Storms (May 2022),Central Climate Regiion,Severe Storm,20220519,20220519,2625.4,2431,0
Central Severe Weather (June 2022),Central Climate Regiion,Severe Storm,20220607,20220608,2025.7,1911,0
Central Derecho (June 2022),Central Climate Regiion,Severe Storm,20220613,20220613,3386.6,3195,1
North Central and Eastern Severe Weather (July 2022),Central Climate Regiion,Severe Storm,20220722,20220724,1420.4,1340,1
Kentucky and Missouri Flooding (July 2022),Central Climate Regiion,Flooding,20220726,20220728,1552.9,1465,42
Central and Eastern Winter Storm and Cold Wave (December 2022),Central Climate Regiion,Winter Storm,20221221,20221226,8951.7,8445,87
Western/Central Drought and Heat Wave (2022),Central Climate Regiion,Drought,20220101,20221231,23480.6,20965,136
Southern and Eastern Severe Weather (March 2023),Central Climate Regiion,Severe Storm,20230302,20230303,6111.1,5876,13
Southern and Eastern Severe Weather (April 2023),Central Climate Regiion,Severe Storm,20230324,20230326,2956,2815,23
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Central Climate Regiion,Severe Storm,20230331,20230401,5853.2,5628,33
Central and Eastern Severe Weather (April 2023),Central Climate Regiion,Severe Storm,20230404,20230406,2956.1,2815,5
Central and Southern Severe Weather (April 2023),Central Climate Regiion,Severe Storm,20230415,20230415,1388.3,1335,0
Central Severe Weather (April 2023),Central Climate Regiion,Severe Storm,20230419,20230420,3078.4,2960,1
Central Severe Weather (May 2023),Central Climate Regiion,Severe Storm,20230506,20230508,2222.5,2137,1
Central and Eastern Tornadoes and Hail Storms (May 2023),Central Climate Regiion,Severe Storm,20230510,20230512,3563,3426,1
Southern Severe Weather (June 2023),Central Climate Regiion,Severe Storm,20230611,20230614,4153.1,4032,0
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Central Climate Regiion,Severe Storm,20230621,20230626,5401.4,5244,8
Central Severe Weather (June 2023),Central Climate Regiion,Severe Storm,20230628,20230702,1976.8,1919,3
Northeastern Flooding and North Central Severe Weather (July 2023),Central Climate Regiion,Flooding,20230709,20230715,2230.4,2165,10
North Central and Southeastern Severe Weather (July 2023),Central Climate Regiion,Severe Storm,20230719,20230721,1887,1832,1
North Central and Eastern Severe Weather (July 2023),Central Climate Regiion,Severe Storm,20230728,20230729,1526.6,1482,2
Northeastern and Eastern Severe Weather (August 2023),Central Climate Regiion,Severe Storm,20230805,20230808,1680.2,1631,4
Southern Hail Storms (September 2023),Central Climate Regiion,Severe Storm,20230923,20230924,1694.5,1645,0
